QuestionNumber,Question,RelatedTags,Answer
782,Were Alakazams on the level of Dragonite and Salamence originally? [see question 781],"['Alakazam', 'Dragonite', 'Pokemon Battle', 'Psychic type', 'Salamence', 'Teleport']","Sort of. Dragonite and Salamence tend to be more powerful and dangerous in a straight fight, but nothing wants to fight an Alakazam if they can help it. It's not worth it, especially since most Alakazam can easily just deal damage, teleport away, and then chip away at you for the next few days. They're impossible to beat in battles of attrition, so they were given a wide berth."
783,Which was more feared alakazam or gengar? [see question 781],"['Alakazam', 'Gengar', 'Lavender Town']","Probably Gengar. Alakazam generally aren't hostile, although there's definitely exceptions."
784,What's the best defense against a gengar?,"['Dark type', 'Gengar', 'Pokemon Battle']","Probably a dark-type, something that could put a little fear into the Gengar and keep it from being as aggressive."
785,Were Dusknoirs around too or were they so reclusive no one had one back in the day?,"['Dusknoir', 'Pokemon Behaviour']","Dusknoir were around, but they usually functioned as guardians of places. Very unusual to see one loyal to a human - they were very respected, but neutral."
786,On Torrent’s future defense.,['Torrent'],"He'll [Torrent will] be working towards more specialized forms of defense later on, but currently I will say that a water shield would be able to intercept most elemental attacks - it requires a water source, however."
787,On Ditto’s common battling strategy.,"['Ditto', 'DNA']","So, for Traveler, I have Ditto as able to store DNA samples that they can shift into. They degrade fairly quickly (especially when they’re used) so it’s more common to just keep Ditto stocked with the rest of your team’s DNA. It gives it additional versatility, and that experience fighting in a variety of forms make them more adept at taking on opponent’s forms of all body types."
788,Are the armor parts of steel/rock types organic?,"['DNA', 'Pokemon Biology']","It depends on the Pokémon, but many rock and steel types have primarily inorganic shells with some organic components. It would be a little difficult to get DNA from the shell and armor; but not entirely impossible. It’s just more practical to get DNA from the squishy bits."
789,Does Traveler!Ash see Daisy in any kind of sisterly/relative way or do you think he does/could appreciate her as an attractive female?,"['Age', 'Ash', 'Daisy']","Good question! Ash views Daisy as something between an older sister/cousin sort of way and a friend. That said, Ash does think she’s pretty. Because of both his age and the way he perceives her it’s a complete afterthought, though."
790,On weapons.,"['Pokemon Behaviour', 'Psychic type', 'Technology', 'Wild Pokemon']","Basically, guns don’t exist to the point we have them in real life. The technology exists, sure, but nothing more advanced than primitive firearms were really developed. The problem arises in that more emphasis was placed on heavy weapons like cannons that could feasibly hurt a Pokémon - most can easily shrug off a few bullets, and early weaponry was so primitive and unwieldy that it just never took off. It wasn’t accurate enough to reliably hit a pokemon, it tended to really piss off and unsettled wild Pokémon, it made humans a much bigger target in engagements (whereas they were mostly ignored by Pokémon before), and psychics had a nasty habit of forcing people with guns to shoot at their teammates through mind control, physical manipulation, or just making the human hallucinate. Not to mention psychic barriers can pretty easily soak up bullets, especially from primitive, undeveloped firearms."
791,On Gary’s Pidgeot.,"['Dragon type', 'Gary', 'Pidgeot']","Yep, Gary’s Pidgeot is naturally a giant of its species. Gary leaned into that and basically trained it as a dragon slayer - big and bulky enough to match or overpower most dragons and faster too. [see question 152]"
792,How limited is torrent on land again?,"['Pokemon Biology', 'Torrent']",Torrent’s limited to roughly 2/3 of his true strength while on land!
793,Does battling on a field with water pools count as on land? Or is he [Torrent] as strong in those pools as he would be at sea or on a fully submerged battlefield? [see question 792],"['Pokemon Battle', 'Torrent']","The water pools count as long as he’s in them - just reducing his need to levitate lets him focus his strength on battling. His raw offensive power is going to increase depending on how much water he has available, especially with water manipulation."
794,Do you think Dragonite are disadvantaged underwater?,"['Dov', 'Dragonite', 'Dratini', 'Pokemon Battle', 'Pokemon Behaviour', 'Torrent']","Underwater, yes. I see Dragonite as being comfortable in water, but they lose a lot of their mobility underwater compared to when they were Dratini and Dragonair."
795,How strong is Dov compared to Lance's main Dragonite?,"['Dov', 'Dragonite', 'Lance', 'Pokemon Battle']",Dog’s more physical and brute force focused. Heavier but not as quick and nimble in the air.
796,"Am I correct in thinking that Lance’s average Pokémon is stronger than Cynthia’s average Pokémon, but Dragonite is weaker than Princess?","['Cynthia', 'Dragonite', 'Lance', 'Pokemon Battle', 'Princess']","Lance’s average Pokémon is stronger than Cynthia’s, and I’d say Dragonite and Princess are equally matched. Dragonite just has an advantage because of flight. If Dragonite is grounded then Princess has a large advantage, though."
797,Is Lance's main dragonite related to Dov?,"['Dov', 'Dragonite', 'Lance']","To be honest, I can’t fully remember...I want to say that Dragonite and Dov are related somehow? It’s one of those things buried in my notes."
798,Do Lance’s Dragonite know Barrier?,"['Barrier', 'Dragonite', 'Lance']",Of course! They also evolved several levels early. Breaking game mechanics is Lance’s real trump card.
799,"Is Magnus X or Y, or does Lance have both?","['Lance', 'Magnus', 'Mega Evolution']",Will confirm Lance has both.
800,On Giovanni’s strength.,"['Champion', 'Giovanni', 'Karen', 'League', 'Master Trainer', 'Mewtwo', 'Persian', 'Pokemon Battle', 'Team Rocket']",Giovanni is one of those characters who would hit Master-level easy if he put his mind to it. He probably could’ve been Champion if he invested his energy into it.
801,Is Oak at his current level weaker than Agatha?,"['Agatha', 'Pokemon Battle', 'Professor Oak']","It’s a sticky situation for Oak vs. Agatha. I know in the story that I said Oak could still take her, but as things have become more developed and fleshed out I say it’s a toss up. Agatha is in better shape, but much of Oak’s team still regularly trains (albeit without his input) and it’s not unheard of for League members to come by for a friendly spar."
802,"Could Giovanni alone and unregulated but with prep take down Oak, if Oak has equal prep?","['Giovanni', 'Pokemon Battle', 'Professor Oak']","Yeah, no way he takes down Oak on his own, especially with equal amounts of prep. Oak is several tiers higher."
803,Who would be willing to give Ash The Talk? I'm more interested in the trust aspect of this question.,"['Agatha', 'Ash', 'Delia', 'Karen', 'Lance', 'Steven', 'Professor Oak']","If purely hypothetical, I’d say plenty of people would be willing if necessary: Professor Oak, Lance, Steven, Karen, etc. Definitely a few who would do it just for the entertainment value - Agatha would have a fun time with that."
804,"Do y’all think AZ and Floette are still alive in Traveler, or do you think they got ganked by one of the Aura Trio?","['Aura Trio', 'AZ', 'Floette']",I will confirm they’re alive!
805,On Bruiser’s Rampage current strength [around chapter 57].,"['Bruiser', 'Pokemon Biology', 'Rampage']","Yep, his current sustainable Rampage is close to his original interpretation. Just more experience and time for his body to build up to it."
806,How recent is cloned meat?,"['Beldum', 'Blaine', 'Ditto', 'Moo Moo Milk', 'Stone Family']","Really in the last 10-15 years I’d say. It’s had the proof of concept done since Blaine’s first forays into cloning, but the mass synthesizing of meat wasn’t practical until Ditto cells became accessible. Solutions with ditto cells were able to make it much, much easier to cultivate."
807,What's the official name for the unaffiliated traveling masters?,"['Master Trainer', 'Nomad']",The official term is Nomad!
